PK,SK,difficulty,index,name,prompt
Greedy Algorithm,Easy#1,Easy,1,Interval Scheduling,"""Given a set of intervals, select the maximum number of non-overlapping intervals. Each interval is represented by its start and end times."""
Greedy Algorithm,Easy#2,Easy,2,Coin Change,"""Given a set of coin denominations and a total amount, find the minimum number of coins needed to make up the amount. You can assume an infinite supply of each coin denomination."""
Greedy Algorithm,Easy#3,Easy,3,Fractional Knapsack,"""Given a set of items, each with a weight and a value, determine the maximum value of items you can carry in a knapsack of limited capacity. You can take fractions of items."""
Greedy Algorithm,Hard#1,Hard,1,Minimum Spanning Tree (Prim's Algorithm),"""Given a connected, undirected graph, find the minimum spanning tree using Prim's algorithm. The minimum spanning tree is a subset of edges that connects all the vertices with the minimum possible total edge weight."""
Greedy Algorithm,Hard#2,Hard,2,Dijkstra's Shortest Path,"""Given a weighted graph and a source node, find the shortest path from the source to all other nodes using Dijkstra's algorithm."""
Greedy Algorithm,Hard#3,Hard,3,Gas Station,"""There are N gas stations along a circular route. Each gas station has a certain amount of gas, and you need to travel around the route. Find the starting station where you can travel around the entire circuit without running out of gas."""
Greedy Algorithm,Medium#1,Medium,1,Activity Selection,"""Given a set of activities with their start and end times, select the maximum number of activities that can be performed by a single person, assuming no overlap between activities."""
Greedy Algorithm,Medium#2,Medium,2,Huffman Coding,"""Given a set of characters and their frequencies, construct a Huffman Tree and encode the characters with the optimal prefix code."""
Greedy Algorithm,Medium#3,Medium,3,Job Sequencing with Deadlines,"""Given a set of jobs, each with a deadline and profit, find the maximum profit schedule such that no two jobs overlap and each job is completed by its deadline."""
Sliding Window,Easy#1,Easy,1,Maximum Sum Subarray of Size K,"""Given an array of positive numbers and a positive number ‘k,’ find the maximum sum of any contiguous subarray of size ‘k’."""
Sliding Window,Easy#2,Easy,2,First Negative Number in Every Window of Size K,"""Given an array of integers and a number k, find the first negative integer in every window of size k. If a window does not contain a negative integer, output 0 for that window."""
Sliding Window,Easy#3,Easy,3,Average of All Contiguous Subarrays of Size K,"""Given an array, find the average of all contiguous subarrays of size ‘k’ in it."""
